user_id,email,full_name,plan,events_total,had_return_visit,is_premium,churn_probability,churn_risk,last_event_at
60,user60@test.com,Test User 60,free,3,0,0,0.9857904,High,2026-06-01 20:52:56.014925+00:00
72,user72@test.com,Test User 72,free,3,0,0,0.98545736,High,2026-05-21 19:44:45.641648+00:00
64,user64@test.com,Test User 64,free,3,0,0,0.98545736,High,2026-05-17 10:49:21.206729+00:00
62,user62@test.com,Test User 62,free,3,0,0,0.98545736,High,2026-05-20 18:41:48.267935+00:00
67,user67@test.com,Test User 67,free,3,0,0,0.98545736,High,2026-05-28 03:09:01.075641+00:00
65,user65@test.com,Test User 65,free,3,0,0,0.98545736,High,2026-05-14 00:56:49.491090+00:00
69,user69@test.com,Test User 69,free,3,0,0,0.98030806,High,2026-06-12 01:49:21.607323+00:00
71,user71@test.com,Test User 71,free,3,0,0,0.98030806,High,2026-06-12 08:25:41.990108+00:00
77,user77@test.com,Test User 77,premium,2,0,1,0.97719973,High,2026-05-27 08:52:00.603572+00:00
87,user87@test.com,Test User 87,free,2,0,0,0.9702177,High,2026-06-20 23:09:53.979687+00:00
81,user81@test.com,Test User 81,free,2,0,0,0.9702177,High,2026-05-17 18:58:29.252106+00:00
80,user80@test.com,Test User 80,free,2,0,0,0.9702177,High,2026-05-18 00:57:39.189266+00:00
82,user82@test.com,Test User 82,free,2,0,0,0.9702177,High,2026-05-14 11:27:57.999938+00:00
76,user76@test.com,Test User 76,free,2,0,0,0.9702177,High,2026-05-14 06:02:55.200953+00:00
83,user83@test.com,Test User 83,free,2,0,0,0.96805465,High,2026-06-30 09:21:38.042232+00:00
63,user63@test.com,Test User 63,premium,3,0,1,0.9628072,High,2026-06-09 05:27:47.353265+00:00
98,user98@test.com,Test User 98,premium,1,0,1,0.96066695,High,2026-05-19 21:02:35.298930+00:00
66,user66@test.com,Test User 66,free,3,0,0,0.9544354,High,2026-06-06 10:12:52.115865+00:00
103,user103@test.com,Test User 103,free,1,0,0,0.948887,High,2026-05-21 19:59:52.935344+00:00
102,user102@test.com,Test User 102,free,1,0,0,0.948887,High,2026-05-13 00:16:01.787683+00:00
68,user68@test.com,Test User 68,free,3,0,0,0.9482048,High,2026-06-10 04:59:15.776537+00:00
